complaint_id,complaint_text,category,sentiment,severity,channel,branch,status,resolution_note,created_date,resolution_days,is_duplicate,duplicate_of,predicted_category,predicted_sentiment,predicted_severity,source
CMP1000,Debit card got stuck in the Union Bank ATM at Hazratganj Lucknow.,ATM / Debit Card,Neutral,Critical,Email,Hazratganj Lucknow,Escalated,,2024-09-08,,False,,ATM / Debit Card,Neutral,Critical,Synthetic_UBI
CMP1001,IMPS transfer failed but money debited from my UBI account.,Fund Transfer / NEFT / RTGS,Frustrated,Critical,Email,Connaught Place Delhi,Open,,2024-05-26,,False,,Fund Transfer / NEFT / RTGS,Frustrated,Critical,Synthetic_UBI
CMP1002,My FD matured but the amount is not credited to my savings account.,Fixed Deposit,Neutral,High,Mobile App,Nariman Point Mumbai,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2024-09-13,15.0,False,,Fixed Deposit,Neutral,High,Synthetic_UBI
CMP1003,Cannot reset my MPIN on the Union Bank Vyom app.,Mobile Banking App,Frustrated,Critical,Social Media,MG Road Bangalore,In Progress,,2023-10-03,,False,,Mobile Banking App,Frustrated,Critical,Synthetic_UBI
CMP1004,My Union Bank Rupay Platinum debit card was declined at a merchant.,ATM / Debit Card,Disappointed,Low,Email,Banjara Hills Hyderabad,Open,,2023-03-04,,False,,ATM / Debit Card,Disappointed,Low,Synthetic_UBI
CMP1005,My account is frozen due to pending KYC despite submitting documents online.,KYC / Documentation,Angry,Medium,Web Portal,Connaught Place Delhi,Open,,2023-03-17,,False,,KYC / Documentation,Angry,Medium,Synthetic_UBI
CMP1006,Contactless payment is not working on my Union Bank Visa card.,ATM / Debit Card,Urgent,Critical,Web Portal,Shivajinagar Pune,Escalated,,2023-07-17,,False,,ATM / Debit Card,Urgent,Critical,Synthetic_UBI
CMP1007,Salary account opened at T Nagar Chennai but welcome kit not received.,Account Opening,Urgent,Medium,Email,T Nagar Chennai,Resolved,The technical glitch in Vyom app has been fixed in the latest update.,2024-12-27,3.0,False,,Account Opening,Urgent,Medium,Synthetic_UBI
CMP1008,Branch manager at MG Road Bangalore is not releasing property documents after loan closure.,Loan Services,Frustrated,Low,Web Portal,MG Road Bangalore,Escalated,,2024-08-30,,False,,Loan Services,Frustrated,Low,Synthetic_UBI
CMP1009,"U-Mobile app is very slow, transferring funds via UPI fails.",Mobile Banking App,Disappointed,Critical,Email,Shivajinagar Pune,Open,,2024-09-01,,True,CMP1006,Mobile Banking App,Disappointed,Critical,Synthetic_UBI
CMP1010,Session expires too fast on Union Bank internet banking.,Internet Banking,Frustrated,Critical,Phone Call,T Nagar Chennai,In Progress,,2024-12-17,,False,,Internet Banking,Frustrated,Critical,Synthetic_UBI
CMP1011,Sent an email to customercare@unionbankofindia.com but no reply.,Customer Service,Disappointed,Critical,Branch Visit,T Nagar Chennai,Resolved,We regret the delay. The card has been dispatched via Speed Post.,2024-03-17,1.0,False,,Customer Service,Disappointed,Critical,Synthetic_UBI
CMP1012,Bill payment done via NEFT is not reflecting in my credit card statement.,Credit Card,Angry,Critical,Mobile App,Malviya Nagar Jaipur,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2024-12-14,9.0,False,,Credit Card,Angry,Critical,Synthetic_UBI
