complaint_id,complaint_text,category,sentiment,severity,channel,branch,status,resolution_note,created_date,resolution_days,is_duplicate,duplicate_of
CMP1000,Debit card got stuck in the Union Bank ATM at Hazratganj Lucknow.,ATM / Debit Card,Neutral,Critical,Email,Hazratganj Lucknow,Escalated,,2024-09-08,,False,
CMP1001,IMPS transfer failed but money debited from my UBI account.,Fund Transfer / NEFT / RTGS,Frustrated,Critical,Email,Connaught Place Delhi,Open,,2024-05-26,,False,
CMP1002,My FD matured but the amount is not credited to my savings account.,Fixed Deposit,Neutral,High,Mobile App,Nariman Point Mumbai,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2024-09-13,15.0,False,
CMP1003,Cannot reset my MPIN on the Union Bank Vyom app.,Mobile Banking App,Frustrated,Critical,Social Media,MG Road Bangalore,In Progress,,2023-10-03,,False,
CMP1004,My Union Bank Rupay Platinum debit card was declined at a merchant.,ATM / Debit Card,Disappointed,Low,Email,Banjara Hills Hyderabad,Open,,2023-03-04,,False,
CMP1005,My account is frozen due to pending KYC despite submitting documents online.,KYC / Documentation,Angry,Medium,Web Portal,Connaught Place Delhi,Open,,2023-03-17,,False,
CMP1006,Contactless payment is not working on my Union Bank Visa card.,ATM / Debit Card,Urgent,Critical,Web Portal,Shivajinagar Pune,Escalated,,2023-07-17,,False,
CMP1007,Salary account opened at T Nagar Chennai but welcome kit not received.,Account Opening,Urgent,Medium,Email,T Nagar Chennai,Resolved,The technical glitch in Vyom app has been fixed in the latest update.,2024-12-27,3.0,False,
CMP1008,Branch manager at MG Road Bangalore is not releasing property documents after loan closure.,Loan Services,Frustrated,Low,Web Portal,MG Road Bangalore,Escalated,,2024-08-30,,False,
CMP1009,"U-Mobile app is very slow, transferring funds via UPI fails.",Mobile Banking App,Disappointed,Critical,Email,Shivajinagar Pune,Open,,2024-09-01,,True,CMP1006
CMP1010,Session expires too fast on Union Bank internet banking.,Internet Banking,Frustrated,Critical,Phone Call,T Nagar Chennai,In Progress,,2024-12-17,,False,
CMP1011,Sent an email to customercare@unionbankofindia.com but no reply.,Customer Service,Disappointed,Critical,Branch Visit,T Nagar Chennai,Resolved,We regret the delay. The card has been dispatched via Speed Post.,2024-03-17,1.0,False,
CMP1012,Bill payment done via NEFT is not reflecting in my credit card statement.,Credit Card,Angry,Critical,Mobile App,Malviya Nagar Jaipur,Resolved,We have processed the refund. It will reflect in 3-5 working days.,2024-12-14,9.0,False,
CMP1013,NEFT transfer to SBI is pending for over 24 hours.,Fund Transfer / NEFT / RTGS,Disappointed,Low,Branch Visit,Nariman Point Mumbai,Open,,2024-11-27,,False,
CMP1014,Bill payment done via NEFT is not reflecting in my credit card statement.,Credit Card,Angry,Low,Mobile App,Salt Lake Kolkata,Resolved,The technical glitch in Vyom app has been fixed in the latest update.,2023-04-02,4.0,False,
CMP1015,Contactless payment is not working on my Union Bank Visa card.,ATM / Debit Card,Disappointed,Medium,Web Portal,MG Road Bangalore,Escalated,,2023-05-24,,False,
CMP1016,Bill payment done via NEFT is not reflecting in my credit card statement.,Credit Card,Frustrated,Low,Phone Call,T Nagar Chennai,Escalated,,2024-10-07,,False,
CMP1017,Submitted Aadhaar and PAN at Salt Lake Kolkata but KYC is still pending.,KYC / Documentation,Frustrated,Medium,Web Portal,Salt Lake Kolkata,In Progress,,2024-11-12,,False,
CMP1018,Salary account opened at Connaught Place Delhi but welcome kit not received.,Account Opening,Angry,Low,Branch Visit,Connaught Place Delhi,Resolved,Your complaint has been forwarded to the technical team.,2024-10-13,3.0,True,CMP1008
CMP1019,Not able to add beneficiary in retail internet banking.,Internet Banking,Urgent,High,Branch Visit,Nariman Point Mumbai,Escalated,,2023-04-22,,False,
CMP1020,ATM dispensed less cash but full amount deducted from my UBI account.,ATM / Debit Card,Frustrated,Low,Social Media,Banjara Hills Hyderabad,Open,,2024-06-29,,False,
CMP1021,Contactless payment is not working on my Union Bank Visa card.,ATM / Debit Card,Disappointed,Medium,Social Media,Hazratganj Lucknow,Open,,2024-05-18,,True,CMP1021
CMP1022,Cannot link my FD to my savings account for overdraft facility.,Fixed Deposit,Frustrated,Low,Phone Call,Salt Lake Kolkata,In Progress,,2024-05-10,,False,
CMP1023,Prepayment of my Union Education loan is not updated in the portal.,Loan Services,Frustrated,Critical,Branch Visit,Navrangpura Ahmedabad,Resolved,We apologize for the inconvenience. The issue has been resolved.,2024-01-14,1.0,False,
CMP1024,Cannot link my FD to my savings account for overdraft facility.,Fixed Deposit,Frustrated,Critical,Social Media,Malviya Nagar Jaipur,In Progress,,2024-02-02,,False,
CMP1025,Cannot reset my MPIN on the Union Bank Vyom app.,Mobile Banking App,Angry,High,Branch Visit,Navrangpura Ahmedabad,In Progress,,2024-09-04,,True,CMP1025
CMP1026,Vyom app shows 'server error' during NEFT transfer.,Mobile Banking App,Neutral,High,Social Media,Connaught Place Delhi,Open,,2023-03-21,,False,
CMP1027,Prepayment of my Union Education loan is not updated in the portal.,Loan Services,Angry,Critical,Social Media,Hazratganj Lucknow,Escalated,,2023-12-14,,False,
