complaint_id_1,complaint_id_2,text_1,text_2,category,similarity_score,is_known_dup
CMP2287,CMP2293,Prepayment of loan not being accepted online. Being forced to visit branch which...,Prepayment of loan not being accepted online. Being forced to visit branch which...,Loan Services,1.0,False
CMP2204,CMP2201,Net banking is not working on my new laptop. It works on mobile but not on the c...,Net banking is not working on my new laptop. It works on mobile but not on the c...,Internet Banking,1.0,False
CMP2132,CMP2129,I am writing to complain about the following issue. Toll free number does not co...,I am writing to complain about the following issue. Toll free number does not co...,Customer Service,1.0,False
CMP2132,CMP2138,I am writing to complain about the following issue. Toll free number does not co...,I am writing to complain about the following issue. Toll free number does not co...,Customer Service,1.0,False
CMP2137,CMP2134,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2137,CMP2131,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2137,CMP2140,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Toll free number does not connect to any agent after 30 minutes of waiting. This...,Customer Service,1.0,False
CMP2307,CMP2301,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile Banking App,1.0,False
CMP2307,CMP2295,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile Banking App,1.0,False
CMP2307,CMP2304,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile app does not support the latest Android version. I cannot use banking on ...,Mobile Banking App,1.0,False
CMP2003,CMP2009,I am writing to complain about the following issue. My debit card transaction wa...,I am writing to complain about the following issue. My debit card transaction wa...,ATM / Debit Card,1.0,False
CMP2003,CMP2003,I am writing to complain about the following issue. My debit card transaction wa...,I am writing to complain about the following issue. My debit card transaction wa...,ATM / Debit Card,1.0,False
CMP2003,CMP2012,I am writing to complain about the following issue. My debit card transaction wa...,I am writing to complain about the following issue. My debit card transaction wa...,ATM / Debit Card,1.0,False
CMP9030,CMP9030,Aadhaar based KYC verification is failing repeatedly on the bank app even though...,Aadhaar based KYC verification is failing repeatedly on the bank app even though...,KYC / Documentation,1.0,True
CMP2102,CMP2108,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2102,CMP2111,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2102,CMP2099,I visited the branch 4 times for a simple signature update but the work is still...,I visited the branch 4 times for a simple signature update but the work is still...,Customer Service,1.0,False
CMP2153,CMP2147,Transfer to my own account in another bank is taking more than 24 hours to refle...,Transfer to my own account in another bank is taking more than 24 hours to refle...,Fund Transfer / NEFT / RTGS,1.0,False
CMP2360,CMP2351,Recurring deposit account not opening through net banking. Error at the final st...,Recurring deposit account not opening through net banking. Error at the final st...,Account Opening,1.0,False
