complaint_id,complaint_text,is_duplicate
CMP2204,Net banking is not working on my new laptop. It works on mobile but not on the computer. Kindly look into this urgently.,False
CMP1090,Mobile banking app on iOS is crashing after the latest update. Please rollback or fix the update immediately.,False
CMP2036,ATM dispensed less cash than the amount requested but full amount was debited from my account. Kindly look into this urgently.,False
CMP2273,My gold loan is due for renewal but the branch is not responding to my renewal request.,False
CMP2114,Email sent to customer support 3 weeks ago has not received any response whatsoever. Kindly look into this urgently.,False
CMP9003,Senior citizen parent had a very bad experience at the branch. Staff was impatient and did not assist properly.,True
CMP1036,Senior citizen parent had a very bad experience at the branch. Staff was impatient and did not assist properly.,False
CMP2123,Email sent to customer support 3 weeks ago has not received any response whatsoever. Kindly look into this urgently.,False
CMP1063,Aadhaar based KYC verification is failing repeatedly on the bank app even though my Aadhaar details are correct.,False
CMP2205,I am writing to complain about the following issue. Net banking is not working on my new laptop. It works on mobile but not on the computer.,False
CMP2188,I am writing to complain about the following issue. I cannot view my account mini statement on net banking. The page gives a blank screen.,False
CMP2108,I visited the branch 4 times for a simple signature update but the work is still not done.,False
CMP1111,Premature withdrawal of FD is showing much higher penalty than what is mentioned in the terms and conditions.,False
CMP2184,I cannot view my account mini statement on net banking. The page gives a blank screen. Kindly look into this urgently.,False
CMP2360,Recurring deposit account not opening through net banking. Error at the final step.,False
CMP2350,Aadhaar seeding with bank account not completed even after submitting request at branch. Kindly look into this urgently.,False
CMP2255,I am writing to complain about the following issue. Loan repayment schedule shared at disbursement does not match what is being deducted as EMI.,False
CMP2017,I am writing to complain about the following issue. I have not received my debit card after opening account 3 weeks ago. Please dispatch it urgently.,False
CMP2135,I am writing to complain about the following issue. Toll free number does not connect to any agent after 30 minutes of waiting. This is ridiculous.,False
CMP2195,I cannot view my account mini statement on net banking. The page gives a blank screen.,False
CMP9019,Cannot change my mobile banking MPIN through the app. Getting an error at the last step after entering OTP. Kindly resolve on priority basis.,True
CMP2136,Toll free number does not connect to any agent after 30 minutes of waiting. This is ridiculous.,False
CMP2312,Cannot download my account statement from the mobile app. Option is greyed out.,False
CMP2090,I am writing to complain about the following issue. Credit card upgrade to platinum was rejected without any reason. My income and repayment history are excellent.,False
CMP2351,Recurring deposit account not opening through net banking. Error at the final step.,False
CMP2344,Aadhaar seeding with bank account not completed even after submitting request at branch. Kindly look into this urgently.,False
CMP2267,My gold loan is due for renewal but the branch is not responding to my renewal request.,False
CMP1050,Net banking password reset option is not working. OTP is being sent to old mobile number which I no longer use.,False
CMP2186,I cannot view my account mini statement on net banking. The page gives a blank screen.,False
CMP2004,My debit card transaction was declined at the petrol pump even though I have sufficient balance. This is very inconvenient.,False
CMP2244,I am writing to complain about the following issue. Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time.,False
CMP2118,I am writing to complain about the following issue. Email sent to customer support 3 weeks ago has not received any response whatsoever.,False
CMP2264,I am writing to complain about the following issue. Loan repayment schedule shared at disbursement does not match what is being deducted as EMI.,False
CMP1010,My ATM card expired last month and I applied for renewal but have not received the new card yet. Please expedite.,False
CMP2295,Mobile app does not support the latest Android version. I cannot use banking on my new phone.,False
CMP2230,I am writing to complain about the following issue. My mobile number update request is pending for 1 month. I cannot receive OTPs on old number.,False
CMP1024,My add-on credit card for my spouse was blocked without any reason. This is causing inconvenience to my family.,False
CMP2050,Debit card tokenization is not working on e-commerce websites. I cannot make any online purchases. Kindly look into this urgently.,False
CMP2340,Aadhaar seeding with bank account not completed even after submitting request at branch.,False
CMP1031,Customer care chat support is not available during weekends. Had an urgent issue and could not get any help.,False
CMP1023,Foreign currency transaction charges are much higher than what was disclosed in the card terms and conditions.,False
CMP2056,Debit card tokenization is not working on e-commerce websites. I cannot make any online purchases. Kindly look into this urgently.,False
CMP2193,I cannot view my account mini statement on net banking. The page gives a blank screen. Kindly look into this urgently.,False
CMP2067,Credit card minimum due amount is calculated incorrectly on my latest statement. I am being overcharged. Kindly look into this urgently.,False
CMP9016,Foreign currency transaction charges are much higher than what was disclosed in the card terms and conditions.,True
CMP2047,Debit card tokenization is not working on e-commerce websites. I cannot make any online purchases. Kindly look into this urgently.,False
CMP1103,Account opened but debit card and cheque book not received even after 4 weeks. No tracking information provided.,False
CMP1012,Duplicate charges appearing on my debit card statement. Same merchant has charged me twice for one transaction.,False
CMP2045,I am writing to complain about the following issue. Debit card tokenization is not working on e-commerce websites. I cannot make any online purchases.,False
CMP1074,Loan foreclosure charges are much higher than what was mentioned in the loan agreement. Please clarify and correct.,False
CMP1018,Credit card EMI conversion request submitted 10 days ago is still pending. No update provided by customer service.,False
CMP2318,Cannot download my account statement from the mobile app. Option is greyed out.,False
CMP1067,Nomination update form submitted at the branch but not updated in the system even after repeated follow ups.,False
CMP2311,I am writing to complain about the following issue. Cannot download my account statement from the mobile app. Option is greyed out.,False
CMP2125,Email sent to customer support 3 weeks ago has not received any response whatsoever.,False
CMP2240,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time. Kindly look into this urgently.,False
CMP2334,I am writing to complain about the following issue. Mobile banking PIN gets reset automatically every few days forcing me to set it again.,False
CMP2112,I visited the branch 4 times for a simple signature update but the work is still not done. Kindly look into this urgently.,False
CMP2109,I visited the branch 4 times for a simple signature update but the work is still not done. Kindly look into this urgently.,False
CMP1119,FD certificate requested at branch not issued even after 3 weeks. I need it for a visa application urgently.,False
CMP2238,My mobile number update request is pending for 1 month. I cannot receive OTPs on old number. Kindly look into this urgently.,False
CMP2375,I cannot find the option to break my FD prematurely in the net banking portal. Kindly look into this urgently.,False
CMP1109,FD maturity amount was not credited to my savings account on the maturity date. It has been 5 days past maturity.,False
CMP2245,Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time.,False
CMP1108,Student account opened but education loan linkage promised at account opening has not been done by the branch.,False
CMP1106,Minor account conversion to regular account on attaining 18 years is not processed. Account is still showing as minor.,False
CMP1057,Net banking login page is not loading properly on any browser. I have tried Chrome Firefox and Edge all fail.,False
CMP9026,This is regarding my previous complaint. Student account opened but education loan linkage promised at account opening has not been done by the branch.,True
CMP2373,I am writing to complain about the following issue. I cannot find the option to break my FD prematurely in the net banking portal.,False
CMP2019,I have not received my debit card after opening account 3 weeks ago. Please dispatch it urgently. Kindly look into this urgently.,False
CMP2250,I am writing to complain about the following issue. Bank is not accepting digital Aadhaar for KYC. Physical Aadhaar was lost and reprint takes time.,False
CMP2116,Email sent to customer support 3 weeks ago has not received any response whatsoever.,False
CMP2077,My credit card was not delivered to my address even after 3 weeks of application approval.,False
CMP2117,Email sent to customer support 3 weeks ago has not received any response whatsoever. Kindly look into this urgently.,False
CMP9010,I have been charged an annual fee of Rs 2000 on my credit card even though I was promised a lifetime free card at the time of issuance.,True
CMP2080,My credit card was not delivered to my address even after 3 weeks of application approval.,False
CMP1081,Loan account shows overdue amount even though all EMIs are paid on time. This is affecting my credit report.,False
CMP2303,I am writing to complain about the following issue. Mobile app does not support the latest Android version. I cannot use banking on my new phone.,False
CMP2119,Email sent to customer support 3 weeks ago has not received any response whatsoever.,False
CMP1042,IMPS transfer done to wrong account by mistake. Bank is not helping with the reversal process. Need urgent assistance.,False
CMP2383,FD amount was not renewed on maturity date and instead credited to savings causing loss of interest. Kindly look into this urgently.,False
